Simulation #158, Parameters: eta = 0.748393 | rho = 0.366830 | v0 = 0.0418943s
Step 391000 | Order = 0.014818501430613132 | Time = 171s
Step 392000 | Order = 0.0015260724977571383 | Time = 172s
Step 393000 | Order = 0.016031258092093305 | Time = 172s
Step 394000 | Order = 0.011521639019959732 | Time = 172s
Step 395000 | Order = 0.003661286949968983 | Time = 173s
Step 396000 | Order = 0.010340730874604864 | Time = 173s
Step 397000 | Order = 0.029152928713781143 | Time = 174s
Step 398000 | Order = 0.0068032540813377411 | Time = 174s
Step 399000 | Order = 0.0089283250725033167 | Time = 175s
Step 400000 | Order = 0.0070704414086151671 | Time = 175s
Step 401000 | Order = 0.0061897661473560702 | Time = 176s
Step 402000 | Order = 0.0007899679454554942 | Time = 176s
Step 403000 | Order = 0.0068675021018535735 | Time = 176s
Step 404000 | Order = 0.018775672426509276 | Time = 177s
Step 405000 | Order = 0.0075295448156763485 | Time = 177s
Step 406000 | Order = 0.0086581849181120978 | Time = 178s
Step 407000 | Order = 0.0089228031151064278 | Time = 178s
Step 408000 | Order = 0.016327548734326753 | Time = 179s
Step 409000 | Order = 0.010346769434155816 | Time = 179s
Step 410000 | Order = 0.010899238898156286 | Time = 179s
Step 411000 | Order = 0.00022289541955721175 | Time = 180s
Step 412000 | Order = 0.014505191012191443 | Time = 180s
Step 413000 | Order = 0.025175737113977144 | Time = 181s
Step 414000 | Order = 0.010851106949487641 | Time = 181s
Step 415000 | Order = 0.0055446171832922928 | Time = 182s
Step 416000 | Order = 0.0069403337601432703 | Time = 182s
Step 417000 | Order = 0.018903389373937946 | Time = 182s
Step 418000 | Order = 0.0081985323815762044 | Time = 183s
Step 419000 | Order = 0.0059414738938463286 | Time = 183s
Step 420000 | Order = 0.0055133560222362828 | Time = 184s
Step 421000 | Order = 0.024892744723922174 | Time = 184s
Step 422000 | Order = 0.017593528183744468 | Time = 185s
Step 423000 | Order = 0.018930921868654436 | Time = 185s
Step 424000 | Order = 0.0033978048962966982 | Time = 185s
Step 425000 | Order = 0.012813541829639698 | Time = 186s
Step 426000 | Order = 0.024992051076068295 | Time = 186s
Step 427000 | Order = 0.0081054135694484924 | Time = 187s
Step 428000 | Order = 0.0058735326056036522 | Time = 187s
Step 429000 | Order = 0.013939014346093712 | Time = 188s
Step 430000 | Order = 0.0056821507013172711 | Time = 188s
Step 431000 | Order = 0.010541328655935468 | Time = 188s
Step 432000 | Order = 0.014378403865105286 | Time = 189s
Step 433000 | Order = 0.015328573234644599 | Time = 189s
Step 434000 | Order = 0.0062636276628192942 | Time = 190s
Step 435000 | Order = 0.016979129706573469 | Time = 190s
Step 436000 | Order = 0.010238476970063262 | Time = 191s
Step 437000 | Order = 0.011435745573402167 | Time = 191s
Step 438000 | Order = 0.015647099561218018 | Time = 191s
Step 439000 | Order = 0.010127887810331981 | Time = 192s
Step 440000 | Order = 0.014882564326235822 | Time = 192s
Step 441000 | Order = 0.012544851393567364 | Time = 193s
Step 442000 | Order = 0.032206162185104678 | Time = 193s
Step 443000 | Order = 0.020392889464143089 | Time = 194s
Step 444000 | Order = 0.021074446893885348 | Time = 194s
Step 445000 | Order = 0.015567115814222935 | Time = 194s
Step 446000 | Order = 0.02354149091037561 | Time = 195s
Step 447000 | Order = 0.0083360729235772615 | Time = 195s
Step 448000 | Order = 0.02009833702551235 | Time = 196s
Step 449000 | Order = 0.007492864073941766 | Time = 196s
Step 450000 | Order = 0.012573352955846081 | Time = 197s
Step 451000 | Order = 0.013678488815495814 | Time = 197s
Step 452000 | Order = 0.015346747068503168 | Time = 198s
Step 453000 | Order = 0.011757296632282371 | Time = 198s
Step 454000 | Order = 0.004093275754151162 | Time = 198s
Step 455000 | Order = 0.016517750426291274 | Time = 199s
Step 456000 | Order = 0.016785011909723209 | Time = 199s
