Simulation #5, Parameters: eta = 0.824178 | rho = 0.203223 | v0 = 0.0105289s
Step 263000 | Order = 0.0252971272922509 | Time = 64s
Step 264000 | Order = 0.025481332528123804 | Time = 64s
Step 265000 | Order = 0.028099685522111759 | Time = 64s
Step 266000 | Order = 0.014614249270987461 | Time = 64s
Step 267000 | Order = 0.016240655366620511 | Time = 64s
Step 268000 | Order = 0.015098395332349943 | Time = 65s
Step 269000 | Order = 0.013340661006287188 | Time = 65s
Step 270000 | Order = 0.013532037004993204 | Time = 65s
Step 271000 | Order = 0.010102410594222802 | Time = 65s
Step 272000 | Order = 0.021729333023218052 | Time = 66s
Step 273000 | Order = 0.036812354958245981 | Time = 66s
Step 274000 | Order = 0.012699437512706644 | Time = 66s
Step 275000 | Order = 0.013686740509595997 | Time = 66s
Step 276000 | Order = 0.022398663073899868 | Time = 67s
Step 277000 | Order = 0.0082735739477197978 | Time = 67s
Step 278000 | Order = 0.0093127508330857686 | Time = 67s
Step 279000 | Order = 0.0019258737675862867 | Time = 67s
Step 280000 | Order = 0.0030751765344891094 | Time = 67s
Step 281000 | Order = 0.018167234219132074 | Time = 68s
Step 282000 | Order = 0.0081801824621134615 | Time = 68s
Step 283000 | Order = 0.015160426549717766 | Time = 68s
Step 284000 | Order = 0.0035433127185480707 | Time = 69s
Step 285000 | Order = 0.024751919255726423 | Time = 69s
Step 286000 | Order = 0.018938877246804601 | Time = 69s
Step 287000 | Order = 0.0067897944311623836 | Time = 69s
Step 288000 | Order = 0.014608056001561551 | Time = 69s
Step 289000 | Order = 0.034948571151216593 | Time = 70s
Step 290000 | Order = 0.0063299560047253194 | Time = 70s
Step 291000 | Order = 0.014114254161207269 | Time = 70s
Step 292000 | Order = 0.022080292307834717 | Time = 70s
Step 293000 | Order = 0.01185465448602138 | Time = 71s
Step 294000 | Order = 0.025265445099521854 | Time = 71s
Step 295000 | Order = 0.0058181759524339903 | Time = 71s
Step 296000 | Order = 0.017899303635982761 | Time = 71s
Step 297000 | Order = 0.020201702622803269 | Time = 71s
Step 298000 | Order = 0.022754139821782531 | Time = 72s
Step 299000 | Order = 0.0068091880694536224 | Time = 72s
Step 300000 | Order = 0.010053021401987959 | Time = 72s
Step 301000 | Order = 0.013957214612739041 | Time = 75s
Step 302000 | Order = 0.0047002038604390568 | Time = 75s
Step 303000 | Order = 0.024898250066414881 | Time = 75s
Step 304000 | Order = 0.0041551168220272791 | Time = 75s
Step 305000 | Order = 0.027159963435365999 | Time = 76s
Step 306000 | Order = 0.008133167552047486 | Time = 76s
Step 307000 | Order = 0.025290304169417386 | Time = 76s
Step 308000 | Order = 0.01430862960372563 | Time = 76s
Step 309000 | Order = 0.0074465213821279311 | Time = 77s
