Simulation #55, Parameters: eta = 0.160282 | rho = 0.207730 | v0 = 0.449991s
Step 285000 | Order = 0.67419739396499023 | Time = 86s
Step 286000 | Order = 0.68352066514003207 | Time = 86s
Step 287000 | Order = 0.67356452066252859 | Time = 86s
Step 288000 | Order = 0.67642004570152336 | Time = 87s
Step 289000 | Order = 0.61943268750122693 | Time = 87s
Step 290000 | Order = 0.67480551643127784 | Time = 87s
Step 291000 | Order = 0.62471497288025069 | Time = 88s
Step 292000 | Order = 0.594344232410283 | Time = 88s
Step 293000 | Order = 0.65765847124550758 | Time = 88s
Step 294000 | Order = 0.56131100126963906 | Time = 88s
Step 295000 | Order = 0.62313951626256614 | Time = 89s
Step 296000 | Order = 0.67200048456423511 | Time = 89s
Step 297000 | Order = 0.63339232179572358 | Time = 89s
Step 298000 | Order = 0.6585327610691486 | Time = 90s
Step 299000 | Order = 0.64004443047759518 | Time = 90s
Step 300000 | Order = 0.67394992332286952 | Time = 90s
Step 301000 | Order = 0.65687739293177072 | Time = 91s
Step 302000 | Order = 0.66649702600281036 | Time = 91s
Step 303000 | Order = 0.64605779518358963 | Time = 91s
Step 304000 | Order = 0.49702829540940818 | Time = 91s
Step 305000 | Order = 0.59035101623558373 | Time = 92s
Step 306000 | Order = 0.65126148775939574 | Time = 92s
Step 307000 | Order = 0.62754848556828391 | Time = 92s
Step 308000 | Order = 0.67959966243830727 | Time = 93s
Step 309000 | Order = 0.62826622413316957 | Time = 93s
Step 310000 | Order = 0.65283096450233902 | Time = 93s
Step 311000 | Order = 0.63083458131314063 | Time = 94s
Step 312000 | Order = 0.67432665925472901 | Time = 94s
Step 313000 | Order = 0.64795741834232978 | Time = 94s
Step 314000 | Order = 0.66210054927257644 | Time = 94s
Step 315000 | Order = 0.71528124212996669 | Time = 95s
Step 316000 | Order = 0.59664439766575861 | Time = 95s
Step 317000 | Order = 0.63536407515032078 | Time = 95s
Step 318000 | Order = 0.68478780787053861 | Time = 96s
Step 319000 | Order = 0.61755538828648127 | Time = 96s
Step 320000 | Order = 0.70233637661763149 | Time = 96s
Step 321000 | Order = 0.57427023703070557 | Time = 97s
Step 322000 | Order = 0.65455835601120838 | Time = 97s
Step 323000 | Order = 0.68137871891135116 | Time = 97s
Step 324000 | Order = 0.6689938496715091 | Time = 98s
Step 325000 | Order = 0.63600085721541944 | Time = 98s
Step 326000 | Order = 0.61643923252773336 | Time = 98s
Step 327000 | Order = 0.6027883105902293 | Time = 99s
Step 328000 | Order = 0.66479670004549185 | Time = 99s
Step 329000 | Order = 0.6529181260325253 | Time = 99s
Step 330000 | Order = 0.65260561342480228 | Time = 99s
Step 331000 | Order = 0.6335813493566036 | Time = 100s
Step 332000 | Order = 0.64061352197456034 | Time = 100s
