
#0:
   ##2 - order: 0.082, binder: 0.306
   ##3 - order: 0.088, binder: 0.386
   ##4 - order: 0.086, binder: 0.34
   Final - Mean Order: 0.087, Mean Binder: 0.36

#92:
   ##0 - order: 0.023, binder: 0.343
   ##1 - order: 0.024, binder: 0.347
   ##2 - order: 0.023, binder: 0.353
   ##3 - order: 0.023, binder: 0.262
   ##4 - order: 0.024, binder: 0.382
   Final - Mean Order: 0.023, Mean Binder: 0.337

#93:
   ##0 - order: 0.097, binder: 0.322
   ##1 - order: 0.094, binder: 0.386
   ##2 - order: 0.088, binder: 0.284
   ##3 - order: 0.095, binder: 0.415
   ##4 - order: 0.1, binder: 0.417
   Final - Mean Order: 0.095, Mean Binder: 0.365

#94:
   ##0 - order: 0.011, binder: 0.322
   ##1 - order: 0.011, binder: 0.266
   ##2 - order: 0.011, binder: 0.326
   ##3 - order: 0.012, binder: 0.358
   ##4 - order: 0.011, binder: 0.339
   Final - Mean Order: 0.011, Mean Binder: 0.322

#95:
   ##0 - order: 0.005, binder: 0.272
   ##1 - order: 0.005, binder: 0.349
   ##2 - order: 0.004, binder: 0.32
   ##3 - order: 0.005, binder: 0.356
   ##4 - order: 0.005, binder: 0.364
   Final - Mean Order: 0.005, Mean Binder: 0.332

#96:
   ##0 - order: 0.013, binder: 0.357
   ##1 - order: 0.012, binder: 0.361
   ##2 - order: 0.013, binder: 0.424
   ##3 - order: 0.014, binder: 0.417
   ##4 - order: 0.013, binder: 0.325
   Final - Mean Order: 0.013, Mean Binder: 0.377

#97:
   ##0 - order: 0.877, binder: 0.666
   ##1 - order: 0.87, binder: 0.666
   ##2 - order: 0.876, binder: 0.666
   ##3 - order: 0.873, binder: 0.666
   ##4 - order: 0.875, binder: 0.666
   Final - Mean Order: 0.874, Mean Binder: 0.666

#98:
   ##0 - order: 0.008, binder: 0.335
   ##1 - order: 0.008, binder: 0.37
   ##2 - order: 0.008, binder: 0.355
   ##3 - order: 0.008, binder: 0.37
   ##4 - order: 0.008, binder: 0.353
   Final - Mean Order: 0.008, Mean Binder: 0.357

#99:
   ##0 - order: 0.053, binder: 0.349
   ##1 - order: 0.05, binder: 0.28
   ##2 - order: 0.05, binder: 0.41
   ##3 - order: 0.052, binder: 0.365
   ##4 - order: 0.051, binder: 0.384
   Final - Mean Order: 0.051, Mean Binder: 0.357

#100:
   ##0 - order: 0.012, binder: 0.312
   ##1 - order: 0.013, binder: 0.372
   ##2 - order: 0.012, binder: 0.374
   ##3 - order: 0.013, binder: 0.383
   ##4 - order: 0.013, binder: 0.355
   Final - Mean Order: 0.013, Mean Binder: 0.359

#101:
   ##0 - order: 0.994, binder: 0.667
   ##1 - order: 0.994, binder: 0.667
   ##2 - order: 0.994, binder: 0.667
   ##3 - order: 0.993, binder: 0.667
   ##4 - order: 0.993, binder: 0.667
   Final - Mean Order: 0.993, Mean Binder: 0.667

#102:
   ##0 - order: 0.888, binder: 0.666
   ##1 - order: 0.886, binder: 0.666
   ##2 - order: 0.887, binder: 0.667
   ##3 - order: 0.889, binder: 0.666
   ##4 - order: 0.888, binder: 0.667
   Final - Mean Order: 0.888, Mean Binder: 0.667

#103:
   ##0 - order: 0.013, binder: 0.37
   ##1 - order: 0.014, binder: 0.344
   ##2 - order: 0.015, binder: 0.319
   ##3 - order: 0.013, binder: 0.351
   ##4 - order: 0.014, binder: 0.301
   Final - Mean Order: 0.014, Mean Binder: 0.337

#104:
   ##0 - order: 0.005, binder: 0.319
   ##1 - order: 0.005, binder: 0.316
   ##2 - order: 0.005, binder: 0.238
   ##3 - order: 0.005, binder: 0.302
   ##4 - order: 0.005, binder: 0.204
   Final - Mean Order: 0.005, Mean Binder: 0.276

#105:
