Simulation #0, Parameters: eta = 0.813919 | rho = 0.382139 | v0 = 0.113207s
Step 339000 | Order = 0.015908527538234903 | Time = 155s
Step 340000 | Order = 0.0059613452446359546 | Time = 156s
Step 341000 | Order = 0.013088864942410135 | Time = 156s
Step 342000 | Order = 0.0028652756427932167 | Time = 156s
Step 343000 | Order = 0.004735891929242282 | Time = 157s
Step 344000 | Order = 0.011740479645595069 | Time = 157s
Step 345000 | Order = 0.02340333572833609 | Time = 158s
Step 346000 | Order = 0.014753407217889042 | Time = 158s
Step 347000 | Order = 0.0065933503814362433 | Time = 159s
Step 348000 | Order = 0.0058690564727935665 | Time = 159s
Step 349000 | Order = 0.0049641814848202775 | Time = 160s
Step 350000 | Order = 0.0078948350508372938 | Time = 160s
Step 351000 | Order = 0.009718170689930113 | Time = 161s
Step 352000 | Order = 0.021317126303690089 | Time = 162s
Step 353000 | Order = 0.016215010536898545 | Time = 162s
Step 354000 | Order = 0.0041488711589150219 | Time = 163s
Step 355000 | Order = 0.01244746968733472 | Time = 163s
Step 356000 | Order = 0.01871075031817954 | Time = 164s
Step 357000 | Order = 0.0093226431773650708 | Time = 164s
Step 358000 | Order = 0.018230552823646266 | Time = 164s
Step 359000 | Order = 0.003238204003064933 | Time = 165s
Step 360000 | Order = 0.010569040088312975 | Time = 165s
Step 361000 | Order = 0.0062004487987681834 | Time = 166s
Step 362000 | Order = 0.00049968719068720373 | Time = 166s
Step 363000 | Order = 0.016248006764059564 | Time = 167s
Step 364000 | Order = 0.0041266293793827237 | Time = 167s
Step 365000 | Order = 0.00050021997949917176 | Time = 168s
Step 366000 | Order = 0.01950927965198794 | Time = 168s
Step 367000 | Order = 0.0043604391195208791 | Time = 169s
Step 368000 | Order = 0.015682485304738834 | Time = 169s
Step 369000 | Order = 0.010070375388396483 | Time = 170s
Step 370000 | Order = 0.018194044740986761 | Time = 170s
Step 371000 | Order = 0.012024519902877256 | Time = 170s
Step 372000 | Order = 0.0096089488120839114 | Time = 171s
Step 373000 | Order = 0.0091177035718743877 | Time = 171s
Step 374000 | Order = 0.022197878698573346 | Time = 172s
Step 375000 | Order = 0.020259049288667914 | Time = 172s
Step 376000 | Order = 0.010278190016076485 | Time = 173s
Step 377000 | Order = 0.017210410259052535 | Time = 173s
Step 378000 | Order = 0.00078938714826965644 | Time = 174s
Step 379000 | Order = 0.0065494964374647321 | Time = 174s
Step 380000 | Order = 0.0067496126294952644 | Time = 175s
Step 381000 | Order = 0.0080140234167605795 | Time = 175s
Step 382000 | Order = 0.018148019295227576 | Time = 175s
Step 383000 | Order = 0.0039415163326706202 | Time = 176s
Step 384000 | Order = 0.018032430778708693 | Time = 176s
Step 385000 | Order = 0.0062575640203674709 | Time = 177s
Step 386000 | Order = 0.0081779215925927348 | Time = 177s
Step 387000 | Order = 0.017202354361045887 | Time = 178s
Step 388000 | Order = 0.014952916387323796 | Time = 178s
Step 389000 | Order = 0.014828917174473009 | Time = 179s
Step 390000 | Order = 0.0090986144551523443 | Time = 179s
Step 391000 | Order = 0.013680061325832828 | Time = 180s
Step 392000 | Order = 0.015258434287592245 | Time = 180s
Step 393000 | Order = 0.016791274542581232 | Time = 180s
Step 394000 | Order = 0.010746883410606587 | Time = 181s
Step 395000 | Order = 0.012192694987790166 | Time = 181s
Step 396000 | Order = 0.007134106998708957 | Time = 182s
Step 397000 | Order = 0.018152119018146087 | Time = 182s
Step 398000 | Order = 0.015356365261318018 | Time = 183s
Step 399000 | Order = 0.0056290435904424582 | Time = 183s
Step 400000 | Order = 0.017286850075333475 | Time = 184s
Step 401000 | Order = 0.0011655289886122122 | Time = 184s
Step 402000 | Order = 0.011490437455130452 | Time = 185s
Step 403000 | Order = 0.0077560442229880639 | Time = 185s
Step 404000 | Order = 0.0031309454402670251 | Time = 186s
Step 405000 | Order = 0.024196793619018938 | Time = 186s
Step 406000 | Order = 0.012777491389462943 | Time = 187s
Step 407000 | Order = 0.0060869417289314831 | Time = 187s
Step 408000 | Order = 0.0081431190917682188 | Time = 188s
Step 409000 | Order = 0.02254108640664243 | Time = 188s
Step 410000 | Order = 0.0076781386691485475 | Time = 188s
Step 411000 | Order = 0.020465554788813067 | Time = 189s
Step 412000 | Order = 0.012252442545994776 | Time = 189s
Step 413000 | Order = 0.011257490892449774 | Time = 190s
Step 414000 | Order = 0.010031387642242689 | Time = 190s
Step 415000 | Order = 0.024562945486714019 | Time = 191s
Step 416000 | Order = 0.028733235507597626 | Time = 191s
Step 417000 | Order = 0.019158982243073015 | Time = 192s
Step 418000 | Order = 0.013368733524225063 | Time = 192s
Step 419000 | Order = 0.0081999793428095772 | Time = 193s
Step 420000 | Order = 0.016487199169666913 | Time = 193s
Step 421000 | Order = 0.03821279357586093 | Time = 193s
Step 422000 | Order = 0.026140630137228379 | Time = 194s
Step 423000 | Order = 0.0066583400840937602 | Time = 194s
Step 424000 | Order = 0.010797329228235472 | Time = 195s
Step 425000 | Order = 0.014188108922914005 | Time = 195s
Step 426000 | Order = 0.0050830031859170812 | Time = 196s
Step 427000 | Order = 0.01319349804772221 | Time = 196s
Step 428000 | Order = 0.016165436720444199 | Time = 197s
Step 429000 | Order = 0.0016350008666875474 | Time = 197s
Step 430000 | Order = 0.0071484347853787138 | Time = 198s
Step 431000 | Order = 0.025784792335722281 | Time = 198s
Step 432000 | Order = 0.013041782330123392 | Time = 199s
Step 433000 | Order = 0.0085330967891751059 | Time = 199s
Step 434000 | Order = 0.014723260668048398 | Time = 199s
Step 435000 | Order = 0.0080443059714168687 | Time = 200s
Step 436000 | Order = 0.008712388948839184 | Time = 200s
Step 437000 | Order = 0.01075370234172021 | Time = 201s
Step 438000 | Order = 0.0058842225539481284 | Time = 201s
Step 439000 | Order = 0.0022553123028405926 | Time = 202s
Step 440000 | Order = 0.013026049381829642 | Time = 202s
Step 441000 | Order = 0.0027230490015012006 | Time = 203s
Step 442000 | Order = 0.020798840199402428 | Time = 203s
Step 443000 | Order = 0.0080082760498496209 | Time = 204s
Step 444000 | Order = 0.0067722014882104333 | Time = 204s
Step 445000 | Order = 0.012278566836894454 | Time = 204s
