Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 388000 | Order = 0.03260063161759947 | Time = 105s
Step 389000 | Order = 0.0055902009827953946 | Time = 106s
Step 390000 | Order = 0.0094008870026919215 | Time = 106s
Step 391000 | Order = 0.022639821997990577 | Time = 106s
Step 392000 | Order = 0.042725301834665004 | Time = 106s
Step 393000 | Order = 0.013900226908211541 | Time = 106s
Step 394000 | Order = 0.03346796087058878 | Time = 107s
Step 395000 | Order = 0.033394352268280747 | Time = 107s
Step 396000 | Order = 0.034312544711745128 | Time = 107s
Step 397000 | Order = 0.033387716929912492 | Time = 107s
Step 398000 | Order = 0.045601732522201711 | Time = 108s
Step 399000 | Order = 0.021689157093366229 | Time = 108s
Step 400000 | Order = 0.010728025350928436 | Time = 108s
Step 401000 | Order = 0.027090263176621533 | Time = 109s
Step 402000 | Order = 0.017606376804085649 | Time = 110s
Step 403000 | Order = 0.023985608259728702 | Time = 110s
Step 404000 | Order = 0.020926613660033802 | Time = 110s
Step 405000 | Order = 0.039729669538462221 | Time = 111s
Step 406000 | Order = 0.019761803877076153 | Time = 111s
Step 407000 | Order = 0.080462229507325164 | Time = 111s
Step 408000 | Order = 0.030061220150069845 | Time = 111s
Step 409000 | Order = 0.052728002743357427 | Time = 111s
Step 410000 | Order = 0.0057505269025597853 | Time = 112s
Step 411000 | Order = 0.053043765236347767 | Time = 112s
Step 412000 | Order = 0.012086393746645194 | Time = 112s
Step 413000 | Order = 0.010318963830888074 | Time = 112s
Step 414000 | Order = 0.013342628284828297 | Time = 113s
Step 415000 | Order = 0.036671710553962844 | Time = 113s
Step 416000 | Order = 0.028518425808012803 | Time = 113s
Step 417000 | Order = 0.010312030657021531 | Time = 113s
Step 418000 | Order = 0.024832666552291841 | Time = 114s
Step 419000 | Order = 0.015027911849390242 | Time = 114s
Step 420000 | Order = 0.026560931842556344 | Time = 114s
Step 421000 | Order = 0.023841243973032052 | Time = 114s
Step 422000 | Order = 0.043416947069239938 | Time = 115s
Step 423000 | Order = 0.0084065240316513086 | Time = 115s
Step 424000 | Order = 0.023801580199633274 | Time = 115s
Step 425000 | Order = 0.0074028991125868505 | Time = 115s
Step 426000 | Order = 0.024808400551464535 | Time = 115s
Step 427000 | Order = 0.022117707928581348 | Time = 116s
Step 428000 | Order = 0.0218671337344007 | Time = 116s
Step 429000 | Order = 0.053477159886861199 | Time = 116s
Step 430000 | Order = 0.018070985069444604 | Time = 116s
Step 431000 | Order = 0.048255636766841858 | Time = 117s
Step 432000 | Order = 0.037203147697070074 | Time = 117s
Step 433000 | Order = 0.021066562768058447 | Time = 117s
Step 434000 | Order = 0.020175229498624728 | Time = 117s
Step 435000 | Order = 0.038368057218699965 | Time = 118s
Step 436000 | Order = 0.049855587162185147 | Time = 118s
Step 437000 | Order = 0.021186322276289988 | Time = 118s
Step 438000 | Order = 0.063469159394717312 | Time = 118s
Step 439000 | Order = 0.0049767947264841277 | Time = 119s
Step 440000 | Order = 0.030552063887711488 | Time = 119s
Step 441000 | Order = 0.04059232437105164 | Time = 119s
Step 442000 | Order = 0.032589976855178004 | Time = 119s
Step 443000 | Order = 0.013522356867598303 | Time = 119s
