Simulation #129, Parameters: eta = 0.491193 | rho = 0.328872 | v0 = 0.0800051s
Step 446000 | Order = 0.012144923259578935 | Time = 195s
Step 447000 | Order = 0.0086529910575771848 | Time = 195s
Step 448000 | Order = 0.007451000681772256 | Time = 196s
Step 449000 | Order = 0.03149441543723723 | Time = 196s
Step 450000 | Order = 0.013291402508433976 | Time = 197s
Step 451000 | Order = 0.03486201146080433 | Time = 198s
Step 452000 | Order = 0.01692342252220282 | Time = 199s
Step 453000 | Order = 0.022559992158888577 | Time = 199s
Step 454000 | Order = 0.0057029138637774814 | Time = 200s
Step 455000 | Order = 0.014151696405622003 | Time = 200s
Step 456000 | Order = 0.02845110074631229 | Time = 200s
Step 457000 | Order = 0.015584485368108721 | Time = 201s
Step 458000 | Order = 0.016114452808740531 | Time = 201s
Step 459000 | Order = 0.030366987851394325 | Time = 202s
Step 460000 | Order = 0.028259100089338272 | Time = 202s
Step 461000 | Order = 0.0097019420029566712 | Time = 203s
Step 462000 | Order = 0.021486057503547075 | Time = 203s
Step 463000 | Order = 0.016374649812565395 | Time = 204s
Step 464000 | Order = 0.016271170680371313 | Time = 204s
Step 465000 | Order = 0.015178088395841741 | Time = 204s
Step 466000 | Order = 0.0089407024213744076 | Time = 205s
Step 467000 | Order = 0.026708497274891444 | Time = 205s
Step 468000 | Order = 0.023710340384880846 | Time = 206s
Step 469000 | Order = 0.0046664868356671762 | Time = 206s
Step 470000 | Order = 0.0028811116806576782 | Time = 207s
Step 471000 | Order = 0.020966344739786466 | Time = 207s
Step 472000 | Order = 0.018078247439101146 | Time = 208s
Step 473000 | Order = 0.0045166395996238994 | Time = 208s
Step 474000 | Order = 0.019204077997714741 | Time = 209s
Step 475000 | Order = 0.029243518686125528 | Time = 209s
Step 476000 | Order = 0.016321755734079284 | Time = 210s
Step 477000 | Order = 0.0099249157331225257 | Time = 210s
Step 478000 | Order = 0.02881302130155378 | Time = 211s
Step 479000 | Order = 0.0071902212114573569 | Time = 211s
Step 480000 | Order = 0.019530526201987274 | Time = 211s
Step 481000 | Order = 0.0073029205363149908 | Time = 212s
Step 482000 | Order = 0.019150928336691516 | Time = 212s
Step 483000 | Order = 0.03455362511525284 | Time = 213s
Step 484000 | Order = 0.020945919158088584 | Time = 213s
Step 485000 | Order = 0.02504633841300322 | Time = 214s
Step 486000 | Order = 0.012623636481284627 | Time = 214s
Step 487000 | Order = 0.0084963145917953103 | Time = 215s
