Simulation #122, Parameters: eta = 0.095840 | rho = 0.106524 | v0 = 0.0634708s
Step 456000 | Order = 0.48971453203524112 | Time = 90s
Step 457000 | Order = 0.20781474276817002 | Time = 90s
Step 458000 | Order = 0.14994969545729131 | Time = 90s
Step 459000 | Order = 0.16059581122709571 | Time = 91s
Step 460000 | Order = 0.21812044545266049 | Time = 91s
Step 461000 | Order = 0.18596362426575969 | Time = 91s
Step 462000 | Order = 0.17228006678525429 | Time = 91s
Step 463000 | Order = 0.090864870896222444 | Time = 91s
Step 464000 | Order = 0.14551294854189079 | Time = 92s
Step 465000 | Order = 0.27897711708388739 | Time = 92s
Step 466000 | Order = 0.35509976216380262 | Time = 92s
Step 467000 | Order = 0.38482159574734687 | Time = 92s
Step 468000 | Order = 0.27958232175078906 | Time = 92s
Step 469000 | Order = 0.28993856033109527 | Time = 92s
Step 470000 | Order = 0.10014973819933147 | Time = 93s
Step 471000 | Order = 0.16380591544773374 | Time = 93s
Step 472000 | Order = 0.23163230975785865 | Time = 93s
Step 473000 | Order = 0.35439996903672172 | Time = 93s
Step 474000 | Order = 0.41165331122289944 | Time = 93s
Step 475000 | Order = 0.47347776096437022 | Time = 94s
Step 476000 | Order = 0.50974997359772345 | Time = 94s
Step 477000 | Order = 0.48679845593658033 | Time = 94s
Step 478000 | Order = 0.341608294406127 | Time = 94s
Step 479000 | Order = 0.44375173635267839 | Time = 94s
Step 480000 | Order = 0.38192385079798863 | Time = 95s
Step 481000 | Order = 0.27717949529470182 | Time = 95s
Step 482000 | Order = 0.091380976012368428 | Time = 95s
Step 483000 | Order = 0.24611722361034954 | Time = 95s
Step 484000 | Order = 0.11105016250216081 | Time = 95s
Step 485000 | Order = 0.13530093190590287 | Time = 96s
Step 486000 | Order = 0.098126614792963057 | Time = 96s
Step 487000 | Order = 0.16733120844724023 | Time = 96s
Step 488000 | Order = 0.28795011085257161 | Time = 96s
Step 489000 | Order = 0.31564678131988494 | Time = 96s
Step 490000 | Order = 0.40654097028294295 | Time = 96s
Step 491000 | Order = 0.5214322246807922 | Time = 97s
